stop_name,lat,lon
Gandhinagar_Stop_1,23.23341,72.65382
Gandhinagar_Stop_2,23.19877,72.61245
Gandhinagar_Stop_3,23.22190,72.67123
Gandhinagar_Stop_4,23.20754,72.59812
Gandhinagar_Stop_5,23.24418,72.64257
Gandhinagar_Stop_6,23.18632,72.62891
Gandhinagar_Stop_7,23.22977,72.60734
Gandhinagar_Stop_8,23.21458,72.68902
Gandhinagar_Stop_9,23.20145,72.65590
Gandhinagar_Stop_10,23.23812,72.62044
Gandhinagar_Stop_11,23.19583,72.66751
Gandhinagar_Stop_12,23.21092,72.59218
Gandhinagar_Stop_13,23.22677,72.63640
Gandhinagar_Stop_14,23.24231,72.60429
Gandhinagar_Stop_15,23.18765,72.64877
Gandhinagar_Stop_16,23.20614,72.68155
Gandhinagar_Stop_17,23.21833,72.59941
Gandhinagar_Stop_18,23.23284,72.65729
Gandhinagar_Stop_19,23.19956,72.63482
Gandhinagar_Stop_20,23.22375,72.61873
Gandhinagar_Stop_21,23.24502,72.66211
Gandhinagar_Stop_22,23.19147,72.64108
Gandhinagar_Stop_23,23.20864,72.67249
Gandhinagar_Stop_24,23.23651,72.60955
Gandhinagar_Stop_25,23.20293,72.69012
Gandhinagar_Stop_26,23.21544,72.58329
Gandhinagar_Stop_27,23.22718,72.64673
Gandhinagar_Stop_28,23.19490,72.62088
Gandhinagar_Stop_29,23.23967,72.67604
Gandhinagar_Stop_30,23.20931,72.63592
Gandhinagar_Stop_31,23.22056,72.60273
Gandhinagar_Stop_32,23.23111,72.68842
Gandhinagar_Stop_33,23.18572,72.65638
Gandhinagar_Stop_34,23.24390,72.62984
Gandhinagar_Stop_35,23.19761,72.68420
Gandhinagar_Stop_36,23.21277,72.61147
Gandhinagar_Stop_37,23.22908,72.66419
Gandhinagar_Stop_38,23.20588,72.64305
Gandhinagar_Stop_39,23.23772,72.59681
Gandhinagar_Stop_40,23.18895,72.67044
Gandhinagar_Stop_41,23.22493,72.65311
Gandhinagar_Stop_42,23.21356,72.62137
Gandhinagar_Stop_43,23.24162,72.68255
Gandhinagar_Stop_44,23.19912,72.60498
Gandhinagar_Stop_45,23.21698,72.64772
Gandhinagar_Stop_46,23.23305,72.61884
Gandhinagar_Stop_47,23.19031,72.63329
Gandhinagar_Stop_48,23.22861,72.69051
Gandhinagar_Stop_49,23.20472,72.60792
Gandhinagar_Stop_50,23.21988,72.66477
Gandhinagar_Stop_51,23.24491,72.63688
Gandhinagar_Stop_52,23.18744,72.68119
Gandhinagar_Stop_53,23.21003,72.65236
Gandhinagar_Stop_54,23.23519,72.62658
Gandhinagar_Stop_55,23.19802,72.61279
Gandhinagar_Stop_56,23.22147,72.68988
Gandhinagar_Stop_57,23.20639,72.59855
Gandhinagar_Stop_58,23.23192,72.64491
Gandhinagar_Stop_59,23.21573,72.67162
Gandhinagar_Stop_60,23.24288,72.60993
Gandhinagar_Stop_61,23.19367,72.65774
Gandhinagar_Stop_62,23.22408,72.63241
Gandhinagar_Stop_63,23.20719,72.68466
Gandhinagar_Stop_64,23.23854,72.62095
Gandhinagar_Stop_65,23.20076,72.64612
Gandhinagar_Stop_66,23.21611,72.59562
Gandhinagar_Stop_67,23.22949,72.67573
Gandhinagar_Stop_68,23.18983,72.62358
Gandhinagar_Stop_69,23.24327,72.65941
Gandhinagar_Stop_70,23.21204,72.68893
Gandhinagar_Stop_71,23.19888,72.63544
Gandhinagar_Stop_72,23.22166,72.60761
Gandhinagar_Stop_73,23.23603,72.64805
Gandhinagar_Stop_74,23.20511,72.67107
Gandhinagar_Stop_75,23.23248,72.59486
Gandhinagar_Stop_76,23.21432,72.68177
Gandhinagar_Stop_77,23.18799,72.64055
Gandhinagar_Stop_78,23.22773,72.66233
Gandhinagar_Stop_79,23.24016,72.61802
Gandhinagar_Stop_80,23.20358,72.65692
Gandhinagar_Stop_81,23.21847,72.62917
Gandhinagar_Stop_82,23.23577,72.68564
Gandhinagar_Stop_83,23.19255,72.60149
Gandhinagar_Stop_84,23.24436,72.64681
Gandhinagar_Stop_85,23.20992,72.66358
Gandhinagar_Stop_86,23.22239,72.63521
Gandhinagar_Stop_87,23.19714,72.67692
Gandhinagar_Stop_88,23.23107,72.61124
Gandhinagar_Stop_89,23.21508,72.68941
Gandhinagar_Stop_90,23.18691,72.65208
Gandhinagar_Stop_91,23.23902,72.64377
Gandhinagar_Stop_92,23.20683,72.62011
Gandhinagar_Stop_93,23.22314,72.68293
Gandhinagar_Stop_94,23.21176,72.60846
Gandhinagar_Stop_95,23.23468,72.65755
Gandhinagar_Stop_96,23.19939,72.66972
Gandhinagar_Stop_97,23.24205,72.63384
Gandhinagar_Stop_98,23.20825,72.64709
Gandhinagar_Stop_99,23.22641,72.69102
Gandhinagar_Stop_100,23.19322,72.62467
